,ids,totals
196,2276,27.4
197,2277,18.65
198,2278,31.95
199,2279,49.099999999999994
200,2280,23.45
201,2281,27.8
202,2282,40.75
203,2283,37.55
204,2284,39.599999999999994
205,2285,34.15
206,2293,57.650000000000006
207,2294,33.8
208,2295,30.7
209,2296,21.3
210,2297,28.8
211,2298,30.049999999999997
212,2299,53.7
213,2301,21.8
214,2302,19.9
215,2307,22.0
216,2308,31.75
217,2309,19.4
218,2310,25.8
219,2311,26.4
220,2312,47.2
221,2313,29.8
222,2314,18.9
223,2315,31.7
224,2316,24.45
225,2317,54.15
226,2318,39.55
227,2319,32.3
228,2320,32.75
229,2322,25.75
230,2323,31.75
231,2324,27.45
232,2325,17.8
233,2326,15.8
234,2332,19.45
235,2333,16.3
236,2335,26.25
237,2336,26.4
238,2337,53.599999999999994
239,2338,36.2
240,2339,34.7
241,2340,24.45
242,2341,67.80000000000001
243,2344,36.349999999999994
244,2345,22.8
245,2347,16.45
246,2348,19.8
247,2349,25.45
248,2350,45.3
249,2351,21.5
250,2352,27.349999999999998
251,2353,108.15000000000002
252,2354,40.75
253,2355,18.8
254,2356,31.75
255,2357,9.95
256,2358,37.3
257,2362,35.7
258,2363,65.1
259,2364,18.65
260,2365,55.45
261,2366,25.8
262,2367,19.85
263,2368,51.2
264,2369,40.75
265,2370,27.8
266,2371,28.8
267,2372,34.65
268,2373,49.75
269,2375,19.9
270,2376,27.2
271,2377,42.599999999999994
272,2379,93.45
273,2380,33.7
274,2381,58.5
275,2382,55.2
276,2390,33.05
277,2394,42.25
278,2395,29.75
279,2396,19.85
280,2397,51.85000000000001
281,2398,26.8
282,2399,19.45
283,2400,70.75
284,2401,29.2
285,2402,55.5
286,2403,27.4
287,2404,26.4
288,2405,30.8
289,2406,13.850000000000001
290,2407,31.75
291,2408,36.9
292,2409,16.45
293,2410,25.700000000000003
294,2411,71.25000000000001
295,2412,30.2
296,2414,38.599999999999994
297,2415,18.45
298,2416,35.25
299,2417,36.65
300,2418,32.8
301,2419,23.849999999999998
302,2420,33.349999999999994
303,2421,27.849999999999998
304,2423,51.75
305,2424,36.95
306,2425,48.599999999999994
307,2426,29.849999999999998
308,2427,37.9
309,2428,49.650000000000006
310,2429,33.7
311,2430,27.349999999999998
312,2431,22.349999999999998
313,2432,51.25
314,2433,28.2
315,2434,26.8
316,2435,23.5
317,2436,22.8
318,2437,29.4
319,2438,20.85
320,2439,122.35000000000002
321,2440,24.7
322,2441,19.8
323,2442,36.3
324,2443,20.15
325,2444,39.699999999999996
326,2445,14.899999999999999
327,2446,31.25
328,2447,23.8
329,2448,22.8
330,2449,37.25
331,2450,16.0
332,2451,39.6
333,2453,37.4
334,2454,22.75
335,2455,28.299999999999997
336,2456,20.45
337,2457,37.95
338,2458,50.599999999999994
339,2460,20.85
340,2461,32.95
341,2462,18.15
342,2463,22.85
343,2464,26.7
344,2465,21.8
345,2466,17.25
346,2467,85.05000000000001
347,2468,48.650000000000006
348,2469,17.85
349,2470,29.9
350,2471,51.599999999999994
351,2472,20.45
352,2473,16.1
353,2474,20.85
354,2476,34.75
355,2477,31.75
356,2479,17.85
357,2483,32.849999999999994
358,2484,23.8
359,2485,24.799999999999997
360,2486,20.45
361,2487,37.5
362,2488,17.75
363,2489,31.4
364,2490,60.0
365,2491,25.8
366,2492,30.749999999999996
367,2493,33.9
368,2494,44.400000000000006
369,2495,17.9
370,2496,36.65
371,2497,36.2
372,2498,37.75
373,2499,16.85
374,2500,64.0
375,2501,25.45
376,2502,35.7
377,2503,81.65
378,2504,35.349999999999994
379,2505,39.75
380,2507,58.3
381,2508,54.55
382,2509,43.3
383,2510,16.3
384,2511,27.849999999999998
385,2512,22.75
386,2513,14.899999999999999
387,2514,27.8
388,2515,22.85
389,2516,17.15
390,2517,25.849999999999998
391,2518,81.15
392,2519,17.35
393,2520,39.65
394,2521,18.8
395,2522,50.0
396,2523,31.849999999999998
397,2524,41.9
398,2525,36.65
399,2527,46.900000000000006
400,2528,23.45
401,2529,51.8
402,2530,18.9
403,2531,27.4
404,2532,15.100000000000001
405,2533,37.0
406,2534,25.75
407,2535,49.3
408,2536,54.5
409,2537,42.599999999999994
